"","group","x","y"
"WFP","WFP",-1.47718561081242,-0.889068688773153
"DSA","DSA",-2.95527384419266,2.75983243037991
"UfP","UfP",2.9857937042852,-0.685397053529454
"PMC","PMC",2.6274804239096,0.537335219290521
"RPC","RPC",2.88685118372089,0.12194513227072
"Oregonian","Oregonian",2.01879185082518,0.309331438125745
"PNW","PNW",-1.62279409564778,-0.466969818435164
"PfA","PfA",-2.0844031099175,-0.967390048231828
"PPA","PPA",2.86727194490969,0.304209721216563
"ST","ST",-1.63958443827021,-0.707470926371538
"SEIU","SEIU",0.133043220201525,-1.47424548276408
"AFT","AFT",-1.09025112820569,0.0746901771299665
"AFSCME","AFSCME",-0.641226367487182,-0.87947902392377
"LiUNA","LiUNA",0.813530272104538,-0.936120222886546
"IBEW","IBEW",0.934244218103315,-1.17976952461547
"Teamsters","Teamsters",0.40360324754676,-1.27655921025993
"SM","SM",-1.5516639933489,-0.135038761603379
"SC","SC",-1.54692876917649,-0.607753772984142
"BerniePDX","BerniePDX",-1.80937109368037,-0.565029279252669
"ACP","ACP",-1.20174014143822,0.866773459763535
"OPP","OPP",0.0578979468175141,1.68124541209607
"WashCo.Dems","WashCo.Dems",-0.197098946581351,1.16676421534645
"Ind..Party.of.OR","Ind..Party.of.OR",0.057115956719928,1.62100400147608
"MultCo.GOP","MultCo.GOP",2.03189756961463,1.32716060653556
